AFG,Afghanistan,Asia,EMEA,999
ALB,Albania,Europe,EMEA,CEE
DZA,Algeria,Africa,EMEA,999
ASM,American Samoa,Oceania,APJ,999
AND,Andorra,Europe,EMEA,IBE
AGO,Angola,Africa,EMEA,999
AIA,Anguilla,North America,AMS,001
ATA,Antarctica,Antarctica,APJ,999
ATG,Antigua and Barbuda,North America,AMS,001
ARG,Argentina,South America,AMS,001
ARM,Armenia,Asia,EMEA,999
ABW,Aruba,North America,AMS,001
AUS,Australia,Oceania,APJ,999
AUT,Austria,Europe,EMEA,GWE
AZE,Azerbaijan,Asia,EMEA,999
BHS,Bahamas,North America,AMS,001
BHR,Bahrain,Asia,EMEA,999
BGD,Bangladesh,Asia,APJ,999
BRB,Barbados,North America,AMS,001
BLR,Belarus,Europe,EMEA,999
BEL,Belgium,Europe,EMEA,GWE
BLZ,Belize,North America,AMS,001
BEN,Benin,Africa,EMEA,999
BMU,Bermuda,North America,AMS,001
BTN,Bhutan,Asia,APJ,999
BOL,Bolivia,South America,AMS,001
BIH,Bosnia and Herzegovina,Europe,EMEA,999
BWA,Botswana,Africa,EMEA,999
BRA,Brazil,South America,AMS,001
IOT,British Indian Ocean Territory,Asia,APJ,999
VGB,Virgin Islands British,North America,AMS,001
BRN,Brunei,Asia,APJ,999
BGR,Bulgaria,Europe,EMEA,CEE
BFA,Burkina Faso,Africa,EMEA,999
BDI,Burundi,Africa,EMEA,999
KHM,Cambodia,Asia,APJ,999
CMR,Cameroon,Africa,EMEA,999
CAN,Canada,North America,AMS,001
CPV,Cape Verde,Africa,EMEA,999
CYM,Cayman Islands,North America,AMS,001
CAF,Central African Republic,Africa,EMEA,999
TCD,Chad,Africa,EMEA,999
CHL,Chile,South America,AMS,001
CHN,China,Asia,APJ,999
CXR,Christmas Island,Asia,APJ,999
CCK,Cocos Islands,Asia,APJ,999
COL,Colombia,South America,AMS,001
COM,Comoros,Africa,EMEA,999
COK,Cook Islands,Oceania,APJ,999
CRI,Costa Rica,North America,AMS,001
HRV,Croatia,Europe,EMEA,CEE
CUB,Cuba,North America,AMS,001
CUW,Curacao,North America,EMEA,999
CYP,Cyprus,Europe,EMEA,999
CZE,Czech Republic,Europe,EMEA,CEE
COD,Congo Democratic Republic,Africa,EMEA,999
DNK,Denmark,Europe,EMEA,999
DJI,Djibouti,Africa,EMEA,999
DMA,Dominica,North America,AMS,001
DOM,Dominican Republic,North America,AMS,001
TLS,Timor,Oceania,APJ,999
ECU,Ecuador,South America,AMS,001
